Serial_number:
2144293
Project ID:
Mestrado Zydanne
Location:
SÃ£o Caetano de Odivela
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/27/2025,12:00:00 pm,0,10.353,26.50
3/27/2025,12:10:00 pm,0,10.350,26.30
3/27/2025,12:20:00 pm,0,10.347,26.20
3/27/2025,12:30:00 pm,0,10.347,26.20
3/27/2025,12:40:00 pm,0,10.512,27.50
3/27/2025,12:50:00 pm,0,13.071,28.70
3/27/2025,01:00:00 pm,0,13.050,28.70
3/27/2025,01:10:00 pm,0,13.167,28.70
3/27/2025,01:20:00 pm,0,13.221,28.70
3/27/2025,01:30:00 pm,0,13.236,28.80
3/27/2025,01:40:00 pm,0,13.374,28.80
3/27/2025,01:50:00 pm,0,13.404,28.80
3/27/2025,02:00:00 pm,0,13.494,28.80
3/27/2025,02:10:00 pm,0,13.650,28.80
3/27/2025,02:20:00 pm,0,13.830,28.70
3/27/2025,02:30:00 pm,0,13.845,28.70
3/27/2025,02:40:00 pm,0,13.950,28.60
3/27/2025,02:50:00 pm,0,14.022,28.60
3/27/2025,03:00:00 pm,0,14.172,28.60
3/27/2025,03:10:00 pm,0,14.328,28.60
3/27/2025,03:20:00 pm,0,14.481,28.60
3/27/2025,03:30:00 pm,0,14.514,28.60
3/27/2025,03:40:00 pm,0,14.730,28.70
3/27/2025,03:50:00 pm,0,14.949,28.70
3/27/2025,04:00:00 pm,0,15.135,28.70
3/27/2025,04:10:00 pm,0,15.267,28.70
3/27/2025,04:20:00 pm,0,15.378,28.70
3/27/2025,04:30:00 pm,0,15.528,28.70
3/27/2025,04:40:00 pm,0,15.669,28.70
3/27/2025,04:50:00 pm,0,15.882,28.70
3/27/2025,05:00:00 pm,0,16.089,28.70
3/27/2025,05:10:00 pm,0,16.233,28.70
3/27/2025,05:20:00 pm,0,16.308,28.60
3/27/2025,05:30:00 pm,0,16.425,28.60
3/27/2025,05:40:00 pm,0,16.821,28.60
3/27/2025,05:50:00 pm,0,16.830,28.60
3/27/2025,06:00:00 pm,0,16.794,28.60
3/27/2025,06:10:00 pm,0,17.115,28.60
3/27/2025,06:20:00 pm,0,17.121,28.60
3/27/2025,06:30:00 pm,0,17.313,28.60
3/27/2025,06:40:00 pm,0,17.271,28.70
3/27/2025,06:50:00 pm,0,17.511,28.60
3/27/2025,07:00:00 pm,0,17.466,28.60
3/27/2025,07:10:00 pm,0,17.334,28.60
3/27/2025,07:20:00 pm,0,17.358,28.60
3/27/2025,07:30:00 pm,0,17.445,28.60
3/27/2025,07:40:00 pm,0,17.583,28.60
3/27/2025,07:50:00 pm,0,17.085,28.60
3/27/2025,08:00:00 pm,0,17.433,28.60
3/27/2025,08:10:00 pm,0,17.295,28.60
3/27/2025,08:20:00 pm,0,17.133,28.60
3/27/2025,08:30:00 pm,0,16.932,28.60
3/27/2025,08:40:00 pm,0,16.929,28.60
3/27/2025,08:50:00 pm,0,16.824,28.70
3/27/2025,09:00:00 pm,0,16.635,28.60
3/27/2025,09:10:00 pm,0,16.515,28.60
3/27/2025,09:20:00 pm,0,16.305,28.60
3/27/2025,09:30:00 pm,0,16.224,28.60
3/27/2025,09:40:00 pm,0,15.957,28.60
3/27/2025,09:50:00 pm,0,15.849,28.60
3/27/2025,10:00:00 pm,0,15.516,28.60
3/27/2025,10:10:00 pm,0,15.291,28.60
3/27/2025,10:20:00 pm,0,15.177,28.50
3/27/2025,10:30:00 pm,0,14.934,28.50
3/27/2025,10:40:00 pm,0,14.703,28.50
3/27/2025,10:50:00 pm,0,14.559,28.50
3/27/2025,11:00:00 pm,0,14.301,28.40
